order_id,customer_id,order_date,amount,status
3001,245,2023-05-02,93.91,completed
3002,273,2023-08-11,45.27,completed
3003,212,2023-09-13,108.58,pending
3004,259,2023-07-27,83.47,shipped
3005,293,2023-07-23,352.92,cancelled
3006,277,2023-05-22,399.25,completed
3007,221,2023-05-13,308.18,shipped
3008,257,2023-08-17,226.26,pending
3009,254,2023-07-09,108.77,cancelled
3010,215,2023-07-28,202.01,shipped
3011,287,2023-09-02,244.22,shipped
3012,206,2023-06-26,186.94,cancelled
3013,208,2023-05-02,103.92,completed
3014,299,2023-06-05,347.41,shipped
3015,242,2023-05-31,18.36,pending
3016,223,2023-06-03,180.39,completed
3017,265,2023-09-21,377.51,shipped
3018,210,2023-08-10,389.87,completed
3019,256,2023-05-05,214.99,completed
3020,241,2023-09-25,201.74,pending
3021,291,2023-08-15,140.94,pending
3022,203,2023-07-23,89.76,cancelled
3023,259,2023-08-01,53.34,completed
3024,232,2023-08-20,271.16,cancelled
3025,211,2023-08-10,393.68,shipped
3026,229,2023-07-25,353.92,completed
3027,266,2023-05-30,245.81,completed
3028,300,2023-07-29,167.73,completed
3029,231,2023-05-27,78.70,completed
3030,223,2023-06-09,345.69,completed
3031,223,2023-09-04,216.82,cancelled
3032,298,2023-09-26,210.27,cancelled
3033,283,2023-07-22,390.95,shipped
3034,220,2023-08-21,44.70,pending
3035,281,2023-07-17,361.40,cancelled
3036,208,2023-07-30,235.69,shipped
3037,260,2023-08-24,31.36,shipped
3038,307,2023-07-13,48.38,completed
3039,279,2023-09-07,182.25,cancelled
3040,271,2023-05-11,210.63,cancelled
3041,284,2023-06-18,154.86,pending
3042,265,2023-06-08,431.61,pending
3043,214,2023-07-27,442.34,completed
3044,265,2023-06-14,32.03,pending
3045,257,2023-09-12,242.40,completed
3046,247,2023-08-04,414.30,pending
3047,253,2023-07-26,310.32,completed
3048,302,2023-07-25,43.67,completed
3049,272,2023-08-07,138.60,cancelled
3050,220,2023-07-25,50.45,completed
3051,245,2023-07-19,435.95,pending
3052,217,2023-05-22,149.67,pending
3053,283,2023-07-24,368.74,cancelled
3054,212,2023-08-17,236.19,completed
3055,247,2023-07-19,93.41,completed
3056,244,2023-09-02,98.52,completed
3057,220,2023-05-20,143.67,completed
3058,265,2023-09-16,378.28,cancelled
3059,205,2023-07-26,396.23,cancelled
3060,217,2023-08-05,82.10,completed
3061,307,2023-06-12,328.71,completed
3062,253,2023-08-02,309.22,completed
3063,257,2023-07-12,342.29,pending
3064,230,2023-09-14,119.04,pending
3065,307,2023-06-19,175.01,cancelled
3066,257,2023-08-27,349.71,pending
3067,265,2023-09-13,197.12,completed
3068,305,2023-06-21,363.55,completed
3069,233,2023-05-14,293.91,shipped
3070,271,2023-05-27,324.46,cancelled
3071,309,2023-06-01,139.00,completed
3072,235,2023-08-24,408.81,completed
3073,307,2023-08-20,54.90,completed
3074,305,2023-08-24,399.81,completed
3075,254,2023-05-14,187.46,shipped
3076,231,2023-08-07,447.62,shipped
3077,229,2023-05-08,153.63,completed
3078,308,2023-07-25,359.25,completed
3079,205,2023-07-13,414.07,pending
3080,290,2023-06-05,345.10,pending
3081,258,2023-05-02,409.05,completed
3082,233,2023-06-25,378.21,cancelled
3083,294,2023-09-13,199.12,shipped
3084,231,2023-07-17,68.00,completed
3085,254,2023-08-26,42.32,pending
3086,277,2023-09-15,22.15,cancelled
3087,274,2023-07-01,327.57,shipped
3088,255,2023-05-01,282.44,completed
3089,274,2023-08-15,96.48,completed
3090,268,2023-08-01,44.44,cancelled
3091,270,2023-09-07,357.09,cancelled
3092,271,2023-05-06,184.85,pending
3093,206,2023-08-08,441.75,shipped
3094,296,2023-05-05,170.34,completed
3095,245,2023-07-01,333.83,completed
3096,299,2023-09-26,334.81,shipped
3097,218,2023-05-12,168.25,shipped
3098,305,2023-06-14,376.22,pending
3099,290,2023-08-31,289.81,completed
3100,209,2023-08-26,31.09,completed
3101,206,2023-06-21,400.32,shipped
3102,240,2023-09-09,188.23,cancelled
3103,261,2023-07-04,30.93,completed
3104,237,2023-07-31,390.03,completed
3105,284,2023-07-24,133.85,shipped
3106,256,2023-08-11,338.34,pending
3107,244,2023-06-17,230.85,pending
3108,248,2023-09-10,131.02,completed
3109,294,2023-08-17,49.33,cancelled
3110,306,2023-06-16,252.28,shipped
